event,phase,id,action,player,amount,private,who,percentage,company,round,source,train
,,593,Buy,riverfiend,76,,,10,B&M,,IPO,
,,595,Buy,leesin,76,,,10,ERIE,,market,
,,597,Buy,mpakfm,100,,,10,ERIE,,IPO,
,,599,Buy,mpcoyne,76,,,10,B&M,,IPO,
,,601,Buy,riverfiend,76,,,10,B&M,,IPO,
,,603,Buy,leesin,100,,,10,ERIE,,IPO,
,,606,Buy,mpakfm,120,,,10,B&O,,market,
,,608,Buy,mpcoyne,76,,,10,B&M,,IPO,
CompanyFloating,,609,,M,,,,,,,,
,,610,Receive,,760,,,,M,,,
,,614,Buy,riverfiend,40,,,10,C&O,,market,
,,615,Buy,leesin,67,,,10,B&M,,market,
Pass,,617,,,,,mpakfm,,,,,
,,618,Buy,mpcoyne,67,,,10,B&M,,market,
,,620,Buy,riverfiend,71,,,10,NYNH,,market,
,,623,Buy,leesin,76,,,10,B&M,,IPO,
Pass,,626,,,,,mpakfm,,,,,
,,627,Buy,mpcoyne,66,,,10,ERIE,,market,
,,629,Buy,riverfiend,66,,,10,ERIE,,market,
,,631,Buy,leesin,40,,,10,C&O,,market,
Pass,,633,,,,,mpakfm,,,,,
,,634,Buy,mpcoyne,67,,,10,B&M,,market,
,,636,Buy,riverfiend,71,,,10,NYC,,market,
,,638,Par,leesin,100,,,,CPR,,,
,,639,Buy,leesin,200,,,20,CPR,,IPO,
PresidentNomination,,640,,leesin,,,,,CPR,,,
Pass,,642,,,,,mpakfm,,,,,
Pass,,643,,,,,mpcoyne,,,,,
,,644,Buy,riverfiend,40,,,10,C&O,,market,
Pass,,646,,,,,leesin,,,,,
Pass,,647,,,,,mpakfm,,,,,
Pass,,648,,,,,mpcoyne,,,,,
,,651,Buy,riverfiend,40,,,10,C&O,,market,
Pass,,652,,,,,leesin,,,,,
Pass,,653,,,,,mpakfm,,,,,
Pass,,654,,,,,mpcoyne,,,,,
Pass,,655,,,,,riverfiend,,,,,
PriorityDeal,,658,,leesin,,,,,,,,
OperatingRound,,659,,,,,,,,6.1,,
CompanyOperation,,660,,e,,,,,B&O,,,
Pass,,662,,,,,O,,,,,
,,666,Buy,,450,,,,O,,The Depot,5
CompanyOperation,,668,,m,,,,,NYC,,,
CompanyOperation,,677,,n,,,,,NYNH,,,
,,683,Buy,,450,,,,H,,The Depot,5
CompanyOperation,,685,,e,,,,,B&M,,,
,,692,Buy,,630,,,,M,,The Depot,6
PhaseChange,6,693,,,,,,,,,,
TrainRust,,694,,,,,,,,,,3
Pass,,695,,,,,M,,,,,
CompanyOperation,,697,,d,,,,,ERIE,,,
Pass,,699,,,,,ERIE,,,,,
Pass,,703,,,,,ERIE,,,,,
CompanyOperation,,705,,d,,,,,C&O,,,
Pass,,711,,,,,O,,,,,
CompanyOperation,,713,,n,,,,,PRR,,,
Pass,,715,,,,,PRR,,,,,
Pass,,719,,,,,PRR,,,,,
OperatingRound,,721,,,,,,,,6.2,,
CompanyOperation,,722,,e,,,,,B&O,,,
Pass,,728,,,,,O,,,,,
CompanyOperation,,730,,m,,,,,NYC,,,
CompanyOperation,,739,,n,,,,,NYNH,,,
Pass,,745,,,,,NYNH,,,,,
CompanyOperation,,747,,d,,,,,C&O,,,
Pass,,753,,,,,O,,,,,
CompanyOperation,,755,,e,,,,,B&M,,,
Pass,,761,,,,,M,,,,,
CompanyOperation,,763,,d,,,,,ERIE,,,
Pass,,765,,,,,ERIE,,,,,
,,769,Buy,,630,,,,E,,The Depot,6
CompanyOperation,,771,,n,,,,,PRR,,,
Pass,,776,,,,,PRR,,,,,
OperatingRound,,778,,,,,,,,6.3,,
CompanyOperation,,779,,e,,,,,B&O,,,
Pass,,785,,,,,O,,,,,
CompanyOperation,,787,,m,,,,,NYC,,,
Pass,,788,,,,,NYC,,,,,
CompanyOperation,,796,,n,,,,,NYNH,,,
Pass,,802,,,,,NYNH,,,,,
CompanyOperation,,804,,d,,,,,C&O,,,
Pass,,810,,,,,O,,,,,
CompanyOperation,,812,,e,,,,,B&M,,,
Pass,,818,,,,,M,,,,,
CompanyOperation,,820,,d,,,,,ERIE,,,
Pass,,822,,,,,ERIE,,,,,
CompanyOperation,,829,,n,,,,,PRR,,,
Pass,,831,,,,,PRR,,,,,
TrainRust,,836,,,,,,,,,,4
Pass,,837,,,,,PRR,,,,,
StockRound,,839,,,,,,,,7,,
,,840,Buy,leesin,68,,,10,B&M,,market,
Pass,,842,,,,,mpakfm,,,,,
,,843,Buy,mpcoyne,10,,,10,PRR,,market,
,,846,Buy,riverfiend,76,,,10,PRR,,IPO,
,,847,Buy,leesin,76,,,10,PRR,,IPO,
Pass,,849,,,,,mpakfm,,,,,
,,850,Buy,mpcoyne,68,,,10,C&O,,market,
,,852,Buy,riverfiend,76,,,10,B&M,,IPO,
,,854,Buy,leesin,90,,,10,NYC,,market,
,,860,Buy,mpcoyne,55,,,10,ERIE,,market,
,,862,Buy,riverfiend,76,,,10,B&M,,IPO,
,,864,Buy,leesin,68,,,10,C&O,,market,
,,868,Buy,mpcoyne,68,,,10,C&O,,market,
,,870,Buy,riverfiend,76,,,10,B&M,,IPO,
,,872,Buy,leesin,100,,,10,CPR,,IPO,
Pass,,874,,,,,mpakfm,,,,,
,,875,Buy,mpcoyne,75,,,10,NYNH,,market,
,,877,Buy,riverfiend,75,,,10,NYNH,,market,
,,879,Buy,leesin,100,,,10,CPR,,IPO,
Pass,,881,,,,,mpakfm,,,,,
,,882,Buy,mpcoyne,100,,,10,ERIE,,IPO,
,,884,Buy,riverfiend,100,,,10,CPR,,IPO,
,,886,Buy,leesin,100,,,10,CPR,,IPO,
CompanyFloating,,887,,R,,,,,,,,
,,888,Receive,,1000,,,,R,,,
Pass,,890,,,,,mpakfm,,,,,
,,891,Buy,mpcoyne,100,,,10,ERIE,,IPO,
,,893,Buy,riverfiend,75,,,10,NYNH,,market,
Pass,,895,,,,,leesin,,,,,
Pass,,896,,,,,mpakfm,,,,,
,,897,Buy,mpcoyne,80,,,10,NYC,,market,
Pass,,899,,,,,riverfiend,,,,,
Pass,,900,,,,,leesin,,,,,
Pass,,901,,,,,mpakfm,,,,,
,,902,Buy,mpcoyne,75,,,10,NYNH,,market,
Pass,,904,,,,,riverfiend,,,,,
Pass,,905,,,,,leesin,,,,,
Pass,,906,,,,,mpakfm,,,,,
Pass,,907,,,,,mpcoyne,,,,,
